TICKER,TICKER_NM,TICKER_TYPE,TICKER_STAT
006650,대한유화,0,정상
006660,삼성공조,0,정상
006740,영풍제지,0,정상
006800,미래에셋증권,0,정상
006805,미래에셋증권우,0,정상
00680K,미래에셋증권2우B,0,정상
006840,AK홀딩스,0,정상
006880,신송홀딩스,0,정상
006890,태경케미컬,0,정상
006980,우성,0,정상
007070,GS리테일,0,정상
007110,일신석재,0,정상
007120,미래아이앤지,0,정상
007160,사조산업,0,정상
007210,벽산,0,정상
007280,한국특강,0,정상
007310,오뚜기,0,정상
007340,DN오토모티브,0,정상
007460,에이프로젠,0,정상
007540,샘표,0,정상
007570,일양약품,0,정상
007575,일양약품우,0,정상
007590,동방아그로,0,정상
007610,선도전기,0,정상
007660,이수페타시스,0,정상
007690,국도화학,0,정상
007700,F&F홀딩스,0,정상
007810,코리아써키트,0,정상
007815,코리아써우,0,정상
00781K,코리아써키트2우B,0,정상
007860,서연,0,정상
007980,태평양물산,0,정상
008040,사조동아원,0,정상
008060,대덕,0,정상
00806K,대덕1우,0,정상
008110,대동전자,0,정상
008250,이건산업,0,정상
008260,NI스틸,0,정상
008350,남선알미늄,0,정상
008355,남선알미우,0,정상
008420,문배철강,0,정상
008490,서흥,0,정상
008500,일정실업,0,정상
008560,메리츠증권,0,정상
008600,윌비스,0,정상
008700,아남전자,0,정상
008730,율촌화학,0,정상
008770,호텔신라,0,정상
008775,호텔신라우,0,정상
008870,금비,0,정상
008930,한미사이언스,0,정상
008970,동양철관,0,정상
009070,KCTC,0,정상
009140,경인전자,0,정상
009150,삼성전기,0,정상
009155,삼성전기우,0,정상
009160,SIMPAC,0,정상
009180,한솔로지스틱스,0,정상
009190,대양금속,0,정상
009200,무림페이퍼,0,정상
009240,한샘,0,정상
009270,신원,0,정상
009290,광동제약,0,정상
009310,참엔지니어링,0,정상
009320,대우부품,0,정상
009410,태영건설,0,정상
009415,태영건설우,0,정상
009420,한올바이오파마,0,정상
009440,KC그린홀딩스,0,정상
009450,경동나비엔,0,정상
009460,한창제지,0,정상
009470,삼화전기,0,정상
009540,한국조선해양,0,정상
009580,무림P&P,0,정상
009680,모토닉,0,정상
009770,삼정펄프,0,정상
009810,플레이그램,0,정상
009830,한화솔루션,0,정상
009835,한화솔루션우,0,정상
009900,명신산업,0,정상
009970,영원무역홀딩스,0,정상
010040,한국내화,0,정상
010050,우리종금,0,정상
010060,OCI,0,정상
010100,한국프랜지,0,정상
010120,LS ELECTRIC,0,정상
010130,고려아연,0,정상
010140,삼성중공업,0,정상
010145,삼성중공우,0,정상
010400,우진아이엔에스,0,정상
010420,한솔PNS,0,정상
010580,에스엠벡셀,0,정상
010600,웰바이오텍,0,정상
010620,현대미포조선,0,정상
010640,진양폴리,0,정상
010660,화천기계,0,정상
010690,화신,0,정상
010770,평화홀딩스,0,정상
010780,아이에스동서,0,정상
010820,퍼스텍,0,정상
010950,S-Oil,0,정상
010955,S-Oil우,0,정상
010960,삼호개발,0,정상
011000,진원생명과학,0,정상
011070,LG이노텍,0,정상
011090,에넥스,0,정상
011150,CJ씨푸드,0,정상
011155,CJ씨푸드1우,0,정상
011170,롯데케미칼,0,정상
011200,HMM,0,정상
011210,현대위아,0,정상
011230,삼화전자,0,정상
011280,태림포장,0,정상
011300,성안,0,정상
011330,유니켐,0,정상
011390,부산산업,0,정상
011420,갤럭시아에스엠,0,정상
011500,한농화성,0,정상
011690,와이투솔루션,0,정상
011700,한신기계,0,정상
011760,현대코퍼레이션,0,정상
011780,금호석유,0,정상
011785,금호석유우,0,정상
011790,SKC,0,정상
011810,STX,0,정상
011930,신성이엔지,0,정상
012030,DB,0,정상
012160,영흥,0,정상
012170,아센디오,0,정상
012200,계양전기,0,정상
012205,계양전기우,0,정상
012280,영화금속,0,정상
012320,경동인베스트,0,정상
012330,현대모비스,0,정상
012450,한화에어로스페이스,0,정상
012510,더존비즈온,0,정상
012600,청호ICT,0,정상
012610,경인양행,0,정상
012630,HDC,0,정상
012690,모나리자,0,정상
012750,에스원,0,정상
012800,대창,0,정상
013000,세우글로벌,0,정상
013360,일성건설,0,정상
013520,화승코퍼레이션,0,정상
013570,디와이,0,정상
013580,계룡건설,0,정상
013700,까뮤이앤씨,0,정상
013870,지엠비코리아,0,정상
013890,지누스,0,정상
014130,한익스프레스,0,정상
014160,대영포장,0,정상
014280,금강공업,0,정상
014285,금강공업우,0,정상
014440,영보화학,0,정상
014530,극동유화,0,정상
014580,태경비케이,0,정상
014680,한솔케미칼,0,정상
014710,사조씨푸드,0,정상
014790,HL D&I,0,정상
014820,동원시스템즈,0,정상
014825,동원시스템즈우,0,정상
014830,유니드,0,정상
014910,성문전자,0,정상
014915,성문전자우,0,정상
014990,인디에프,0,정상
015020,이스타코,0,정상
015230,대창단조,0,정상
015260,에이엔피,0,정상
015360,예스코홀딩스,0,정상
015540,쎌마테라퓨틱스,0,정상
015590,큐로,0,정상
015760,한국전력,0,정상
015860,일진홀딩스,0,정상
015890,태경산업,0,정상
016090,대현,0,정상
016360,삼성증권,0,정상
016380,KG스틸,0,정상
016450,한세예스24홀딩스,0,정상
016580,환인제약,0,정상
016590,신대양제지,0,정상
016610,DB금융투자,0,정상
016710,대성홀딩스,0,정상
016740,두올,0,정상
016800,퍼시스,0,정상
016880,웅진,0,정상
017040,광명전기,0,정상
017180,명문제약,0,정상
017370,우신시스템,0,정상
017390,서울가스,0,정상
017550,수산중공업,0,정상
017670,SK텔레콤,0,정상
017800,현대엘리베이,0,정상
017810,풀무원,0,정상
017900,광전자,0,정상
017940,E1,0,정상
017960,한국카본,0,정상
018250,애경산업,0,정상
018260,삼성에스디에스,0,정상
018470,조일알미늄,0,정상
018500,동원금속,0,정상
018670,SK가스,0,정상
018880,한온시스템,0,정상
019170,신풍제약,0,정상
019175,신풍제약우,0,정상
019180,티에이치엔,0,정상
019440,세아특수강,0,정상
019490,하이트론,0,정상
019680,대교,0,정상
019685,대교우B,0,정상
020000,한섬,0,정상
020120,키다리스튜디오,0,정상
020150,일진머티리얼즈,0,정상
020560,아시아나항공,0,정상
020760,일진디스플,0,정상
021050,서원,0,정상
021240,코웨이,0,정상
021820,세원정공,0,정상
023000,삼원강재,0,정상
023150,MH에탄올,0,정상
023350,한국종합기술,0,정상
